"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\vertex-format-bf491aa3.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\video.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\view-50c22e7e.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\webgl-define-47af0bf2.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\cocos\webview.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\first-screen.js", "JavaScript", 0, 241, 0, 0, 0, 20, 261
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\game.js", "JavaScript", 0, 76, 0, 0, 16, 9, 101
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\game.json", "JSON", 22, 0, 0, 0, 0, 1, 23
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\cache-manager.js", "JavaScript", 0, 232, 0, 0, 28, 28, 288
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\AssetManager.js", "JavaScript", 0, 431, 0, 0, 6, 64, 501
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\Editbox.js", "JavaScript", 0, 149, 0, 0, 1, 38, 188
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\Game.js", "JavaScript", 0, 59, 0, 0, 1, 13, 73
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\globalAdapter\ContainerStrategy.js", "JavaScript", 0, 15, 0, 0, 1, 5, 21
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\globalAdapter\View.js", "JavaScript", 0, 34, 0, 0, 1, 4, 39
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\globalAdapter\index.js", "JavaScript", 0, 5, 0, 0, 0, 1, 6
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\index.js", "JavaScript", 0, 5, 0, 0, 0, 4, 9
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\engine\misc.js", "JavaScript", 0, 2, 0, 0, 0, 1, 3
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\dom-parser.js", "JavaScript", 0, 195, 0, 0, 54, 41, 290
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\dom.js", "JavaScript", 0, 1056, 0, 0, 133, 274, 1463
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\entities.js", "JavaScript", 0, 244, 0, 0, 0, 1, 245
"d:\PZB\Cocos3D\HelloTK3.4.0\bulid\HelloTK\libs\common\xmldom\sax.js", "JavaScript", 0, 522, 0, 0, 69, 156, 747
